name,KN,01,02,03,04,05,06,07,08,09,10,11,12,UE,US,Total,academicyear,
Assurance Learning Academy,0,0,0,0,0,0,0,0,0,51,30,21,13,0,0,115,2020-21,
Compass Charter Schools of Los Angeles,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,2020-21,
Empower Generations,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,4,2020-21,
High Desert,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,5,2020-21,
iLead Agua Dulce,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2020-21,
iLEAD Hybrid,2,1,0,0,6,1,1,4,1,0,1,1,0,0,0,18,2020-21,
iLEAD Online,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,4,2020-21,
Meadowlark Elementary,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,2020-21,
Method Schools; LA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-21,
Mission Academy,0,0,0,0,0,0,0,0,2,15,4,3,0,0,0,24,2020-21,
Options for Youth-Acton,0,0,0,0,0,0,0,0,0,18,9,15,16,0,0,58,2020-21,
SIATech Academy South,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,8,2020-21,
Vasquez High,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,2020-21,
