name,KN,01,02,03,04,05,06,07,08,09,10,11,12,UE,US,Total,academicyear,
Afflerbaugh-Paige Camp,0,0,0,0,0,0,0,0,0,1,3,10,14,0,0,28,2020-21,
Alma Fuerte Public,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-21,
Animo City of Champions Charter High,0,0,0,0,0,0,0,0,0,2,4,3,2,0,0,11,2020-21,
Aspire Antonio Maria Lugo Academy,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,2020-21,
Central Juvenile Hall,0,0,0,0,0,0,1,4,9,43,101,157,117,0,0,432,2020-21,
Da Vinci RISE High,0,0,0,0,0,0,0,0,0,6,8,29,10,0,0,53,2020-21,
Environmental Charter Middle - Inglewood,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2020-21,
Intellectual Virtues Academy,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2020-21,
Kirby; Dorothy Camp,0,0,0,0,0,0,0,0,1,5,16,18,21,0,0,61,2020-21,
LA's Promise Charter High #1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,2020-21,
LA's Promise Charter Middle #1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2020-21,
Lashon Academy,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2020-21,
Magnolia Science Academy 3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2020-21,
Magnolia Science Academy 5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,2020-21,
Nidorf; Barry J.,0,0,0,0,0,0,2,2,18,49,68,72,68,0,0,279,2020-21,
North Valley Military Institute College Preparatory Academy,0,0,0,0,0,0,2,4,0,2,0,1,1,0,0,10,2020-21,
Odyssey Charter,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,2020-21,
Optimist Charter,0,0,0,0,0,0,0,0,1,7,13,12,15,0,0,48,2020-21,
Renaissance County Community,0,0,0,0,0,0,0,0,2,13,8,26,22,0,0,71,2020-21,
Road to Success Academy at Campus Kilpatrick,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,16,2020-21,
Rockey; Glenn Camp,0,0,0,0,0,0,0,0,0,1,8,5,4,0,0,18,2020-21,
Valiente College Preparatory Charter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2020-21,
