name,KN,01,02,03,04,05,06,07,08,09,10,11,12,UE,US,Total,academicyear,
Amargosa Creek Middle,0,0,0,0,0,0,6,15,14,0,0,0,0,0,0,35,2020-21,
Desert View Elementary,6,5,9,6,6,7,8,0,0,0,0,0,0,0,0,47,2020-21,
Discovery,11,3,8,8,4,3,0,0,0,0,0,0,0,0,0,37,2020-21,
El Dorado Elementary,5,5,11,7,7,2,0,0,0,0,0,0,0,0,0,37,2020-21,
Endeavour Middle,0,0,0,0,0,0,14,10,11,0,0,0,0,0,0,35,2020-21,
Fulton and Alsbury Academy of Arts and Engineering,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,2020-21,
iLEAD Lancaster Charter,0,4,6,1,4,0,3,1,4,0,0,0,0,0,0,23,2020-21,
Jack Northrop Elementary,6,3,5,5,5,2,0,0,0,0,0,0,0,0,0,26,2020-21,
John and Jacquelyn Miller Elementary,2,3,4,3,7,2,4,0,0,0,0,0,0,0,0,25,2020-21,
Joshua Elementary,11,10,12,7,10,7,0,0,0,0,0,0,0,0,0,57,2020-21,
Lancaster Alternative and Virtual Academies,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,4,2020-21,
Life Source International Charter,2,2,1,1,1,1,2,1,0,0,0,0,0,0,0,11,2020-21,
Lincoln Elementary,8,3,8,8,5,4,0,0,0,0,0,0,0,0,0,36,2020-21,
Linda Verde Elementary,0,2,4,4,7,5,0,0,0,0,0,0,0,0,0,22,2020-21,
Mariposa Elementary,4,6,4,4,3,2,4,0,0,0,0,0,0,0,0,27,2020-21,
Monte Vista Elementary,11,6,9,6,10,9,0,0,0,0,0,0,0,0,0,51,2020-21,
Nancy Cory Elementary,18,8,9,7,7,5,0,0,0,0,0,0,0,0,0,54,2020-21,
New Vista Middle,0,0,0,0,0,0,15,15,15,0,0,0,0,0,0,45,2020-21,
Nonpublic; Nonsectarian Schools,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2020-21,
Piute Middle,0,0,0,0,0,0,6,21,12,0,0,0,0,0,0,39,2020-21,
Sierra Elementary,12,6,6,6,5,7,0,0,0,0,0,0,0,0,0,42,2020-21,
Sunnydale Elementary,11,3,1,2,2,4,4,0,0,0,0,0,0,0,0,27,2020-21,
The Leadership Academy,0,0,1,2,1,2,1,0,2,0,0,0,0,0,0,9,2020-21,
West Wind Elementary,6,1,3,1,2,4,0,0,0,0,0,0,0,0,0,17,2020-21,
