name,KN,01,02,03,04,05,06,07,08,09,10,11,12,UE,US,Total,academicyear,
Antelope Valley Learning Academy,1,0,1,1,0,0,0,0,0,12,15,13,5,0,0,48,2020-21,
Barrel Springs Elementary,4,9,7,6,7,3,0,0,0,0,0,0,0,0,0,36,2020-21,
Buena Vista Elementary,7,1,4,5,6,8,0,0,0,0,0,0,0,0,0,31,2020-21,
Cactus Medical; Health and Technology Magnet Academy,0,0,0,0,0,0,16,11,13,0,0,0,0,0,0,40,2020-21,
Chaparral Prep Academy,3,3,2,7,0,3,0,0,0,0,0,0,0,0,0,18,2020-21,
Cimarron Elementary,7,4,5,4,1,4,0,0,0,0,0,0,0,0,0,25,2020-21,
David G. Millen Law and Government Magnet Academy,0,0,0,0,0,0,2,10,12,0,0,0,0,0,0,24,2020-21,
Desert Rose Elementary,7,8,5,4,8,4,0,0,0,0,0,0,0,0,0,36,2020-21,
Desert Willow Fine Arts; Science and Technology Magnet Academy,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,16,2020-21,
Dos Caminos Dual Immersion,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,7,2020-21,
Golden Poppy Elementary,11,8,3,6,6,5,0,0,0,0,0,0,0,0,0,39,2020-21,
Innovations Academy of Palmdale,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,7,2020-21,
Joshua Hills Elementary,7,2,1,3,4,2,0,0,0,0,0,0,0,0,0,19,2020-21,
Los Amigos - Dual Immersion,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,2020-21,
Manzanita Elementary,12,6,4,1,4,4,0,0,0,0,0,0,0,0,0,31,2020-21,
Mesquite Elementary,2,2,1,3,4,3,0,0,0,0,0,0,0,0,0,15,2020-21,
Oak Tree Community Day,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,2020-21,
Ocotillo Elementary,2,7,8,5,9,3,0,0,0,0,0,0,0,0,0,34,2020-21,
Palm Tree Elementary,7,4,4,3,7,3,0,0,0,0,0,0,0,0,0,28,2020-21,
Palmdale Aerospace Academy,2,1,1,0,1,0,0,0,1,1,2,0,2,0,0,11,2020-21,
Palmdale Discovery Center,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,5,2020-21,
Palmdale Learning Plaza,3,0,2,2,0,2,3,1,0,0,0,0,0,0,0,13,2020-21,
Quail Valley Elementary,6,9,3,7,6,4,0,0,0,0,0,0,0,0,0,35,2020-21,
Shadow Hills Engineering and Design Magnet Academy,0,0,0,0,0,0,12,11,14,0,0,0,0,0,0,37,2020-21,
Space Aeronautics Gateway to Exploration Magnet Academy,0,0,0,0,0,0,8,8,7,0,0,0,0,0,0,23,2020-21,
Summerwind Elementary,5,7,5,3,13,5,0,0,0,0,0,0,0,0,0,38,2020-21,
Tamarisk Elementary,8,7,10,3,7,4,0,0,0,0,0,0,0,0,0,39,2020-21,
Tumbleweed Elementary,5,4,6,7,2,6,0,0,0,0,0,0,0,0,0,30,2020-21,
Yellen Learning Center,0,0,1,2,5,8,6,9,6,0,0,0,0,0,0,37,2020-21,
Yucca Elementary,10,6,8,7,4,3,0,0,0,0,0,0,0,0,0,38,2020-21,
