district_source,name,total
cde_actonagua_fosteryouth_2021_22.csv,Assurance Learning Academy,115
cde_actonagua_fosteryouth_2021_22.csv,Compass Charter Schools of Los Angeles,3
cde_actonagua_fosteryouth_2021_22.csv,Empower Generations,4
cde_actonagua_fosteryouth_2021_22.csv,High Desert,5
cde_actonagua_fosteryouth_2021_22.csv,iLead Agua Dulce,3
cde_actonagua_fosteryouth_2021_22.csv,iLEAD Hybrid,18
cde_actonagua_fosteryouth_2021_22.csv,iLEAD Online,4
cde_actonagua_fosteryouth_2021_22.csv,Meadowlark Elementary,5
cde_actonagua_fosteryouth_2021_22.csv,Method Schools; LA,1
cde_actonagua_fosteryouth_2021_22.csv,Mission Academy,24
cde_actonagua_fosteryouth_2021_22.csv,Options for Youth-Acton,58
cde_actonagua_fosteryouth_2021_22.csv,SIATech Academy South,8
cde_actonagua_fosteryouth_2021_22.csv,Vasquez High,4
cde_antelopevalley_fosteryouth_2021_22.csv,Academies of the Antelope Valley,8
cde_antelopevalley_fosteryouth_2021_22.csv,Antelope Valley High,61
cde_antelopevalley_fosteryouth_2021_22.csv,Desert Sands Charter,40
cde_antelopevalley_fosteryouth_2021_22.csv,Desert Winds Continuation High,49
cde_antelopevalley_fosteryouth_2021_22.csv,Eastside High,98
cde_antelopevalley_fosteryouth_2021_22.csv,Highland High,74
cde_antelopevalley_fosteryouth_2021_22.csv,Lancaster High,73
cde_antelopevalley_fosteryouth_2021_22.csv,Littlerock High,36
cde_antelopevalley_fosteryouth_2021_22.csv,Nonpublic; Nonsectarian Schools,4
cde_antelopevalley_fosteryouth_2021_22.csv,Palmdale High,71
cde_antelopevalley_fosteryouth_2021_22.csv,Phoenix High Community Day,5
cde_antelopevalley_fosteryouth_2021_22.csv,Quartz Hill High,44
cde_antelopevalley_fosteryouth_2021_22.csv,R. Rex Parris High,20
cde_antelopevalley_fosteryouth_2021_22.csv,SOAR High (Students On Academic Rise),2
cde_antelopevalley_fosteryouth_2021_22.csv,William J. (Pete) Knight High,66
cde_eastsideunion_fosteryouth_2021_22.csv,Columbia Elementary,39
cde_eastsideunion_fosteryouth_2021_22.csv,Eastside Academy/Transitional Learning Center,1
cde_eastsideunion_fosteryouth_2021_22.csv,Eastside Elementary,31
cde_eastsideunion_fosteryouth_2021_22.csv,Enterprise Elementary,37
cde_eastsideunion_fosteryouth_2021_22.csv,Gifford C. Cole Middle,28
cde_eastsideunion_fosteryouth_2021_22.csv,Tierra Bonita Elementary,35
cde_keppelunion_fosteryouth_2021_22.csv,Alpine Elementary,17
cde_keppelunion_fosteryouth_2021_22.csv,Antelope Elementary,6
cde_keppelunion_fosteryouth_2021_22.csv,Daisy Gibson Elementary,18
cde_keppelunion_fosteryouth_2021_22.csv,Keppel Academy,3
cde_keppelunion_fosteryouth_2021_22.csv,Lake Los Angeles Elementary,12
cde_keppelunion_fosteryouth_2021_22.csv,Pearblossom Elementary,7
cde_lacofficeedu_fosteryouth_2021_22.csv,Afflerbaugh-Paige Camp,28
cde_lacofficeedu_fosteryouth_2021_22.csv,Alma Fuerte Public,1
cde_lacofficeedu_fosteryouth_2021_22.csv,Animo City of Champions Charter High,11
cde_lacofficeedu_fosteryouth_2021_22.csv,Aspire Antonio Maria Lugo Academy,5
cde_lacofficeedu_fosteryouth_2021_22.csv,Central Juvenile Hall,432
cde_lacofficeedu_fosteryouth_2021_22.csv,Da Vinci RISE High,53
cde_lacofficeedu_fosteryouth_2021_22.csv,Environmental Charter Middle - Inglewood,1
cde_lacofficeedu_fosteryouth_2021_22.csv,Intellectual Virtues Academy,2
cde_lacofficeedu_fosteryouth_2021_22.csv,Kirby; Dorothy Camp,61
cde_lacofficeedu_fosteryouth_2021_22.csv,LA's Promise Charter High #1,4
cde_lacofficeedu_fosteryouth_2021_22.csv,LA's Promise Charter Middle #1,2
cde_lacofficeedu_fosteryouth_2021_22.csv,Lashon Academy,2
cde_lacofficeedu_fosteryouth_2021_22.csv,Magnolia Science Academy 3,2
cde_lacofficeedu_fosteryouth_2021_22.csv,Magnolia Science Academy 5,3
cde_lacofficeedu_fosteryouth_2021_22.csv,Nidorf; Barry J.,279
cde_lacofficeedu_fosteryouth_2021_22.csv,North Valley Military Institute College Preparatory Academy,10
cde_lacofficeedu_fosteryouth_2021_22.csv,Odyssey Charter,3
cde_lacofficeedu_fosteryouth_2021_22.csv,Optimist Charter,48
cde_lacofficeedu_fosteryouth_2021_22.csv,Renaissance County Community,71
cde_lacofficeedu_fosteryouth_2021_22.csv,Road to Success Academy at Campus Kilpatrick,16
cde_lacofficeedu_fosteryouth_2021_22.csv,Rockey; Glenn Camp,18
cde_lacofficeedu_fosteryouth_2021_22.csv,Valiente College Preparatory Charter,1
cde_lancasterelem_fosteryouth_2021_22.csv,Amargosa Creek Middle,35
cde_lancasterelem_fosteryouth_2021_22.csv,Desert View Elementary,47
cde_lancasterelem_fosteryouth_2021_22.csv,Discovery,37
cde_lancasterelem_fosteryouth_2021_22.csv,El Dorado Elementary,37
cde_lancasterelem_fosteryouth_2021_22.csv,Endeavour Middle,35
cde_lancasterelem_fosteryouth_2021_22.csv,Fulton and Alsbury Academy of Arts and Engineering,4
cde_lancasterelem_fosteryouth_2021_22.csv,iLEAD Lancaster Charter,23
cde_lancasterelem_fosteryouth_2021_22.csv,Jack Northrop Elementary,26
cde_lancasterelem_fosteryouth_2021_22.csv,John and Jacquelyn Miller Elementary,25
cde_lancasterelem_fosteryouth_2021_22.csv,Joshua Elementary,57
cde_lancasterelem_fosteryouth_2021_22.csv,Lancaster Alternative and Virtual Academies,4
cde_lancasterelem_fosteryouth_2021_22.csv,Life Source International Charter,11
cde_lancasterelem_fosteryouth_2021_22.csv,Lincoln Elementary,36
cde_lancasterelem_fosteryouth_2021_22.csv,Linda Verde Elementary,22
cde_lancasterelem_fosteryouth_2021_22.csv,Mariposa Elementary,27
cde_lancasterelem_fosteryouth_2021_22.csv,Monte Vista Elementary,51
cde_lancasterelem_fosteryouth_2021_22.csv,Nancy Cory Elementary,54
cde_lancasterelem_fosteryouth_2021_22.csv,New Vista Middle,45
cde_lancasterelem_fosteryouth_2021_22.csv,Nonpublic; Nonsectarian Schools,1
cde_lancasterelem_fosteryouth_2021_22.csv,Piute Middle,39
cde_lancasterelem_fosteryouth_2021_22.csv,Sierra Elementary,42
cde_lancasterelem_fosteryouth_2021_22.csv,Sunnydale Elementary,27
cde_lancasterelem_fosteryouth_2021_22.csv,The Leadership Academy,9
cde_lancasterelem_fosteryouth_2021_22.csv,West Wind Elementary,17
cde_palmdaleelem_fosteryouth_2021_22.csv,Antelope Valley Learning Academy,48
cde_palmdaleelem_fosteryouth_2021_22.csv,Barrel Springs Elementary,36
cde_palmdaleelem_fosteryouth_2021_22.csv,Buena Vista Elementary,31
cde_palmdaleelem_fosteryouth_2021_22.csv,Cactus Medical; Health and Technology Magnet Academy,40
cde_palmdaleelem_fosteryouth_2021_22.csv,Chaparral Prep Academy,18
cde_palmdaleelem_fosteryouth_2021_22.csv,Cimarron Elementary,25
cde_palmdaleelem_fosteryouth_2021_22.csv,David G. Millen Law and Government Magnet Academy,24
cde_palmdaleelem_fosteryouth_2021_22.csv,Desert Rose Elementary,36
cde_palmdaleelem_fosteryouth_2021_22.csv,Desert Willow Fine Arts; Science and Technology Magnet Academy,16
cde_palmdaleelem_fosteryouth_2021_22.csv,Dos Caminos Dual Immersion,7
cde_palmdaleelem_fosteryouth_2021_22.csv,Golden Poppy Elementary,39
cde_palmdaleelem_fosteryouth_2021_22.csv,Innovations Academy of Palmdale,7
cde_palmdaleelem_fosteryouth_2021_22.csv,Joshua Hills Elementary,19
cde_palmdaleelem_fosteryouth_2021_22.csv,Los Amigos - Dual Immersion,4
cde_palmdaleelem_fosteryouth_2021_22.csv,Manzanita Elementary,31
cde_palmdaleelem_fosteryouth_2021_22.csv,Mesquite Elementary,15
cde_palmdaleelem_fosteryouth_2021_22.csv,Oak Tree Community Day,3
cde_palmdaleelem_fosteryouth_2021_22.csv,Ocotillo Elementary,34
cde_palmdaleelem_fosteryouth_2021_22.csv,Palm Tree Elementary,28
cde_palmdaleelem_fosteryouth_2021_22.csv,Palmdale Aerospace Academy,11
cde_palmdaleelem_fosteryouth_2021_22.csv,Palmdale Discovery Center,5
cde_palmdaleelem_fosteryouth_2021_22.csv,Palmdale Learning Plaza,13
cde_palmdaleelem_fosteryouth_2021_22.csv,Quail Valley Elementary,35
cde_palmdaleelem_fosteryouth_2021_22.csv,Shadow Hills Engineering and Design Magnet Academy,37
cde_palmdaleelem_fosteryouth_2021_22.csv,Space Aeronautics Gateway to Exploration Magnet Academy,23
cde_palmdaleelem_fosteryouth_2021_22.csv,Summerwind Elementary,38
cde_palmdaleelem_fosteryouth_2021_22.csv,Tamarisk Elementary,39
cde_palmdaleelem_fosteryouth_2021_22.csv,Tumbleweed Elementary,30
cde_palmdaleelem_fosteryouth_2021_22.csv,Yellen Learning Center,37
cde_palmdaleelem_fosteryouth_2021_22.csv,Yucca Elementary,38
cde_wilsonelem_fosteryouth_2021_22.csv,Challenger Middle,12
cde_wilsonelem_fosteryouth_2021_22.csv,Vista San Gabriel Elementary,29
