OBJECTID,tractce,geoid,intptlat,intptlon,disability_mental,disability_physical,disability_total,gender_female,gender_trans,gender_total,race_eth_origin_african,race_eth_origin_african_america,race_eth_origin_american,race_eth_origin_american_indian,race_eth_origin_armenian,race_eth_origin_api,race_eth_origin_azerbaijani,race_eth_origin_canadian,race_eth_origin_croatian,race_eth_origin_danish,race_eth_origin_ethiopian,race_eth_origin_french,race_eth_origin_german,race_eth_origin_jamaican,race_eth_origin_latino,race_eth_origin_middle_easterne,race_eth_origin_multi_racial,race_eth_origin_nonwhite,race_eth_origin_other,race_eth_origin_portuguese,race_eth_origin_romani_gypsy,race_eth_origin_russian,race_eth_origin_serbian,race_eth_origin_turkish,race_eth_origin_unknown,race_eth_origin_white,race_eth_origin_total,religion_atheist_agnostic,religion_buddhist,religion_catholic,religion_christian,religion_hindu,religion_jehovahs_witness,religion_jewish,religion_mormon_lds,religion_muslim,religion_other,religion_other_christian,religion_protestant,religion_scientologist,religion_sikh,religion_unknown,religion_total,sept11_middle_east_conflict_arm,sept11_middle_east_conflict_dan,sept11_middle_east_conflict_jew,sept11_middle_east_conflict_mid,sept11_middle_east_conflict_mus,sept11_middle_east_conflict_unk,sept11_middle_east_conflict_tot,sexual_orientation_bisexual,sexual_orientation_gay_male,sexual_orientation_heterosexual,sexual_orientation_lesbian,sexual_orientation_lgbt_not_spe,sexual_orientation_total,unknown_total,blank_total,tract_total,SHAPE_Length,SHAPE_Area
1,139301,06037139301,+34.1781538,-118.5581265,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,2,,1,,,,,,,4,,,,,,,,,1,,,,1,1,,8,26908.0938781223,30843790.9994102
2,139302,06037139302,+34.1767230,-118.5383655,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,5,7960.59053123008,3641075.09894488
3,183820,06037183820,+34.1039593,-118.1971254,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,4,10487.5727045839,3322202.84593416
4,910813,06037910813,+34.5152531,-118.3048498,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,167257.099824749,888221338.057208
5,911001,06037911001,+34.4839878,-117.8077879,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,354211.05723896,4026506710.78701
6,404302,06037404302,+34.1178960,-117.9034640,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10366.200522386,6627701.89333791
7,191902,06037191902,+34.0837728,-118.3388222,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,10,11569.8120312783,7817628.45174673
8,195803,06037195803,+34.0818094,-118.2769285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,9006.74440959736,4062124.99889621
9,104124,06037104124,+34.2900933,-118.3741930,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,39589.7121911513,48221678.2069415
10,901209,06037901209,+34.7464788,-118.5703009,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,567274.684728585,6418046524.52505
